通用规范字ID,字头,结构,部件,偏旁变体,部首,拼音与部件名称,笔画数,笔顺,笔顺提示
94,区,半包围,"匚,㐅",,匚,qū/ōu,4,0000000000000000000001345,第二笔是撇，不是竖折。
95,历,半包围,"厂,力",,厂,lì,4,0000000000000000000001353,
96,歹,独体,"一,夕",,歹,dǎi,4,0000000000000000000001354,
97,友,半包围,"𠂇,又",,又,yǒu,4,0000000000000000000001354,
98,尤,独体,"尢,丶",,尢,yóu,4,0000000000000000000001354,
99,匹,半包围,"匚,儿",,匚,pǐ,4,0000000000000000000001355,第二笔是撇，不是竖折。
100,车,独体,"",,车,chē/jū,4,0000000000000000000001512,最后一笔是竖，不是横。
101,巨,半包围,"",,匚,jù,4,0000000000000000000001515,第二笔是横折，不是竖折。
102,牙,独体,"",,牙,yá,4,0000000000000000000001523,
103,屯,独体,"",,一,tún,4,0000000000000000000001525,
104,戈,独体,"弋,丿",,戈,gē,4,0000000000000000000001534,
105,比,左右,"匕,匕",,比,bǐ,4,0000000000000000000001535,第一笔是横，不是竖提，第三笔是撇，不是竖弯钩。
106,互,独体,"一,彑",,一,hù,4,0000000000000000000001551,
107,切,左右,"七,刀",,刀,qiē/qiè,4,0000000000000000000001553,
108,瓦,独体,"",,瓦,wǎ/wà,4,0000000000000000000001554,最后一笔是点，不是横折弯钩。
109,止,独体,"",,止,zhǐ,4,0000000000000000000002121,
110,少,独体,"小,丿",,小,shǎo/shào,4,0000000000000000000002343,
111,曰,独体,"",,曰,yuē,4,0000000000000000000002511,
112,日,独体,"",,日,rì,4,0000000000000000000002511,
113,中,独体,"口,丨",,丨,zhōng/zhòng,4,0000000000000000000002512,
114,贝,独体,"",,贝,bèi,4,0000000000000000000002534,
115,冈,半包围,"冂,㐅",,冂,gāng,4,0000000000000000000002534,
116,内,独体,"冂,人",,丨,nèi,4,0000000000000000000002534,
117,水,独体,"",氵,水,shuǐ,4,0000000000000000000002534,
118,见,独体,"",,见,jiàn/xiàn,4,0000000000000000000002535,
119,午,独体,"𠂉,十",,十,wǔ,4,0000000000000000000003112,
120,牛,独体,"𠂉,十",,牛,niú,4,0000000000000000000003112,最后一笔是竖，不是横。
121,手,独体,"",扌,手,shǒu,4,0000000000000000000003112,
122,气,独体,"",,气,qì,4,0000000000000000000003115,
123,毛,独体,"",,毛,máo,4,0000000000000000000003115,
124,壬,独体,"丿,士",,丿,rén,4,0000000000000000000003121,
125,升,独体,"丿,廾",,丿,shēng,4,0000000000000000000003132,
126,夭,独体,"丿,大",,丿,yāo,4,0000000000000000000003134,
127,长,独体,"",,长,cháng/zhǎng,4,0000000000000000000003154,第一笔是撇，不是横。
128,仁,左右,"亻,二",,亻,rén,4,0000000000000000000003211,
129,什,左右,"亻,十",,亻,shén/shí,4,0000000000000000000003212,
130,片,独体,"",,片,piān/piàn,4,0000000000000000000003215,第二笔是竖，不是横。
131,仆,左右,"亻,卜",,亻,pú/pū,4,0000000000000000000003224,
132,化,左右,"亻,𠤎",,亻,huà,4,0000000000000000000003235,第三笔是撇，不是竖弯钩。
133,仇,左右,"亻,九",,亻,chóu/qiú,4,0000000000000000000003235,右面的“九”第一笔是撇，不是横折弯钩。
134,币,独体,"丿,巾",,丿,bì,4,0000000000000000000003252,
135,仍,左右,"亻,乃",,亻,réng,4,0000000000000000000003253,
136,仅,左右,"亻,又",,亻,jǐn,4,0000000000000000000003254,
137,斤,独体,"𠂆,丅",,斤,jīn,4,0000000000000000000003312,
138,爪,独体,"",爫,爪,zhǎo/zhuǎ,4,0000000000000000000003324,
139,反,半包围,"𠂆,又",,𠂆,fǎn,4,0000000000000000000003354,
140,介,上下,"人,齐_5_6",,人,jiè,4,0000000000000000000003432,
141,父,独体,"八,乂",,父,fù,4,0000000000000000000003434,
142,从,左右,"人,人",,人,cóng,4,0000000000000000000003434,
143,仑,上下,"人,匕",,人,lún,4,0000000000000000000003435,下面的“匕”第一笔是撇，不是竖弯钩。
144,今,上下,"亼,㇇",,人,jīn,4,0000000000000000000003445,
145,凶,半包围,"㐅,凵",,凵,xiōng,4,0000000000000000000003452,
146,分,上下,"八,刀",,八,fēn/fèn,4,0000000000000000000003453,
147,乏,上下,"丿,之",,丿,fá,4,0000000000000000000003454,
148,公,上下,"八,厶",,八,gōng,4,0000000000000000000003454,
149,仓,上下,"人,㔾",,人,cāng,4,0000000000000000000003455,
150,月,独体,"",,月,yuè,4,0000000000000000000003511,
151,氏,独体,"",,氏,shì/zhī,4,0000000000000000000003515,
152,勿,独体,"",,勹,wù,4,0000000000000000000003533,
153,欠,上下,"⺈,人",,欠,qiàn,4,0000000000000000000003534,
154,风,半包围,"𠘨,㐅",,风,fēng,4,0000000000000000000003534,
155,丹,独体,"",,丿,dān,4,0000000000000000000003541,
156,匀,半包围,"勹,冫",,勹,yún,4,0000000000000000000003541,
157,乌,独体,"",,丿,wū/wù,4,0000000000000000000003551,
158,勾,半包围,"勹,厶",,勹,gōu/gòu,4,0000000000000000000003554,
159,凤,半包围,"𠘨,又",,"凤[1,2]",fèng,4,0000000000000000000003554,
160,六,独体,"亠,八",,亠,liù,4,0000000000000000000004134,
161,文,独体,"亠,乂",,文,wén,4,0000000000000000000004134,
162,亢,上下,"亠,几",,亠,kàng,4,0000000000000000000004135,
163,方,独体,"丶,万",,方,fāng,4,0000000000000000000004153,第三笔是横折钩，不是撇。
164,火,独体,"丷,人",灬,火,huǒ,4,0000000000000000000004334,第一笔是点，不是撇。
165,为,独体,"丶,力,丶",,丶,wèi/wéi,4,0000000000000000000004354,第一笔是点，不是横折钩。
166,斗,独体,"⺀,十",,斗,dǒu/dòu,4,0000000000000000000004412,
167,忆,左右,"忄,乙",,忄,yì,4,0000000000000000000004425,
168,计,左右,"讠,十",,讠,jì,4,0000000000000000000004512,
169,订,左右,"讠,丁",,讠,dìng,4,0000000000000000000004512,
170,户,独体,"丶,尸",,户,hù,4,0000000000000000000004513,
171,认,左右,"讠,人",,讠,rèn,4,0000000000000000000004534,
172,冗,上下,"冖,几",,冖,rǒng,4,0000000000000000000004535,
173,讥,左右,"讠,几",,讠,jī,4,0000000000000000000004535,
174,心,独体,"",忄,心,xīn,4,0000000000000000000004544,
175,尺,独体,"尸,丶",,尸,chǐ,4,0000000000000000000005134,
176,引,左右,"弓,丨",,弓,yǐn,4,0000000000000000000005152,
177,丑,独体,"",,乛,chǒu,4,0000000000000000000005211,第二笔是竖，不是横。
178,巴,独体,"",,巳,bā/ba,4,0000000000000000000005215,
179,孔,左右,"子,乚",,子,kǒng,4,0000000000000000000005215,
180,队,左右,"阝,人",,左阝,duì,4,0000000000000000000005234,
181,办,独体,"八,力",,力,bàn,4,0000000000000000000005344,
182,以,左右,"x,人",,人,yǐ,4,0000000000000000000005434,第一笔是竖提，不是点。
183,允,上下,"厶,儿",,厶,yǔn,4,0000000000000000000005435,
184,予,独体,"龴,𠄐",,乛,yǔ/yú,4,0000000000000000000005452,
185,邓,左右,"又,阝",,又,dèng,4,0000000000000000000005452,
186,劝,左右,"又,力",,又,quàn,4,0000000000000000000005453,
187,双,左右,"又,又",,又,shuāng,4,0000000000000000000005454,
188,书,独体,"",,乛,shū,4,0000000000000000000005524,
189,幻,左右,"幺,𠃌",,幺,huàn,4,0000000000000000000005545,
190,玉,独体,"王,丶",𤣩,玉,yù,5,0000000000000000000011214,
191,刊,左右,"干,刂",,干,kān,5,0000000000000000000011222,
192,未,独体,"一,木",,一,wèi,5,0000000000000000000011234,
193,末,独体,"一,木",,一,mò,5,0000000000000000000011234,
194,示,上下,"二,小",礻,示,shì,5,0000000000000000000011234,
195,击,独体,"奉_6_8,凵",,凵,jī,5,0000000000000000000011252,
196,打,左右,"扌,丁",,扌,dǎ/dá,5,0000000000000000000012112,
197,巧,左右,"工,丂",,工,qiǎo,5,0000000000000000000012115,
198,正,独体,"一,止",,一,zhèng/zhēng,5,0000000000000000000012121,
199,扑,左右,"扌,卜",,扌,pū,5,0000000000000000000012124,
200,卉,上下,"十,廾",,十,huì,5,0000000000000000000012132,
201,扒,左右,"扌,八",,扌,bā/pá,5,0000000000000000000012134,
202,功,左右,"工,力",,工,gōng,5,0000000000000000000012153,
203,扔,左右,"扌,乃",,扌,rēng,5,0000000000000000000012153,
204,去,上下,"土,厶",,土,qù,5,0000000000000000000012154,
205,甘,独体,"",,甘,gān,5,0000000000000000000012211,
206,世,独体,"",,一,shì,5,0000000000000000000012215,
207,艾,上下,"艹,乂",,艹,ài/yì,5,0000000000000000000012234,
208,古,上下,"十,口",,十,gǔ,5,0000000000000000000012251,
209,节,上下,"艹,卩",,艹,jié/jiē,5,0000000000000000000012252,
210,本,独体,"木,一",,一,běn,5,0000000000000000000012341,
211,术,独体,"木,丶",,木,shù/zhú,5,0000000000000000000012344,
212,可,半包围,"丁,口",,口,kě/kè,5,0000000000000000000012512,
